AF3
AF4
AF7
AF8
C1
C2
C3
C4
C5
C6
Cz
CP1
CP2
CP3
CP4
CP5
CP6
CPz
F1
F2
F3
F4
F5
F6
F7
F8
F9
F10
Fz
FC1
FC2
FC3
FC4
FC5
FC6
FCz
Fp1
Fp2
FT7
FT8
O1
O2
Oz
P1
P2
P3
P4
P5
P6
P7
P8
P9
P10
Pz
PO3
PO4
PO7
PO8
POz
T7
T8
TP7
TP8
